courseName,courseDescription,courseNumber
Knowing Bodies,"How do you live in your body? What choices do you make every day? ""Knowing Bodies"" is an introduction to claiming oneself through the education of the mind and body simultaneously. Students begin to explore the relationships between body and mind and how they project themselves to the world. Students learn to acknowledge their individuality while improving movement potential and self-expression  oral, written, and movement-based. Students become keen observers while learning about the structure and movement potential of the human body through movement explorations and hands-on techniques. They develop skills for improving movement facility and begin to acknowledge and understand conscious and unconscious behaviors. Students demonstrate self-identity and artistic expression through the creation of art collages and movement studies while becoming more effective communicators through journal writing, discussion, oral presentations and movement expression. ",FSEM 085
The History of Everything,"Did you know that it was not until 300,000 years after the ""big bang"" that light occurred, or that in the year 2000, the tenth largest economic entity in the world was Microsoft (Australia was thirteenth, to put things in prospective)? David Christian's Maps of Time is an example of a recent form of historiography called ""big history,"" because it attempts to locate human beings from the perspective of much larger contexts than the traditional historical periods. Christian's book begins nanoseconds after the ""big bang,"" describes the development of the universe, the formation of our planet, the origins and evolution of life, including human life, and continues to trace human history through the origins of agriculture, the development of cities, states, and civilizations, the development of world religions, etc., up to globalization and the modern world, and then it peeks into future. What this course will do is to give us the opportunity to orient and seek to understand ourselves in relation to a variety of contexts from the cosmic to the global to the national and the local, contexts which, as Christian's book shows us, no matter how vast, or distant, or alien they may seem, create the patterns that play an intimate role in shaping our lives. ",FSEM 094
"Golf Course Architecture: Literature, History and Theory","What is actually at play when someone plays golf? Game design theory suggests that golf is the occasion for a certain experience shaped by rules, actions and skills of the golfer, and the golf course itself. Unlike a basketball court, each golf course is unique, due to a deeply intentional design by a golf course architect. As Alister Mackenzie insists ""The essence of golf is variety."" We approach multiple questions: What are the basic elements of golf course architecture? How do golf course architects imagine the game of golf when they design and build a golf course? What kind of experience do they intend for the golfer? What impact have diverse people, male and female, black and white, rich and poor, who have played golf, had on the history of golf course design? What are the actual lived experiences of golfers, and how have they changed over time? We will pay special attention to the work of important architects who were active locally, and we will visit some of their amazing creations. (Note: Playing golf is not a requirement, and learning how to golf and learning how to design a golf course are not included in the syllabus.)",FSEM 105
The Culture of Respect,"Every community of human beings, every society around the world, is faced with the challenge of creating a culture where all individuals are respecting independently of their differences. This course studies both the differences and the common bonds that connect human beings to one another. Issues of gender, race, class, religion, and sexuality, among others, are studied historically and from multicultural perspectives. By studying the dynamics of oppression that result from the unequal access of power, money, information and education, and by listening to experiences and stories of hope, students develop tools to create a society in which all voices are heard. A theoretical framework for a deeper understanding of the dynamics of human oppression is provided. Yet, this course goes beyond theory to practice. In this light, the class is team-taught by faculty and students.",FSEM 107
From Comix to Graphix: The Art of Story,"Are comics and graphic novels literature, art, both, or neither?  What does Wonder Woman have to do with political history?  Why render the Holocaust in a comic format? This course surveys the history and development of comics and graphic novels, a thriving hybrid form.  Collaboratively taught by a literature professor and an art historian, the course will use methods of literary and visual analysis to gain a deeper understanding of graphic storytellings.  Students will read a range of works in these media, as well as theory, method, and criticism in the field.  Students will process critical analyses as well as creative projects, both individually and in collaboration.  This course helps students develop multiple skills of interpretation of narratives in a range of contexts.  Readings may include Persepolis, Maus, Fun Home, and Scott Pilgrim, among others.",FSEM 108
Creating: Myths &amp; Minds,"This course critically examines various perspectives on the nature of creative activity in the arts, sciences, and everyday life. Students read a wide range of both descriptive and theoretical literature (psychological, philosophical, historical, and sociological) while trying to articulate their own ideas on concepts such as creativity, creating, genius, intelligence, invention, and problem solving. The emphasis throughout is upon analyzing concepts of the creative in terms of actual creative experience. This course places a premium on student writing and student participation.",FSEM 118
Sustainable Communities,"This course introduces students to the concept of sustainable development as applied to real world communities. It will not only focus on the United Nation's three ""interdependent and mutually reinforcing pillars"" of sustainable development - economic development, social development, and environmental protection - but also will touch on intertwined subjects such as individual and collective responsibilities, community planning, and environmental justice. Case studies will be used to discern how individuals, cities, and towns are working to become more sustainable. (Lewis, Mauer, <em>offered annually</em>)",ENV 101
Sustainable Community Development Capstone,"This course applies the practices and processes of sustainable community development through a service-learning project with local organizations. The course will begin by surveying the myriad approaches to sustainable development methods and application undertaken by a variety of disciplines. Students will evaluate the successes and failures of not only the methods but the outcomes of these efforts in achieving social equity, environmental and economic sustainability. Through a service-learning project, students will navigate through the process of developing a sustainable community development plan by applying the skills and knowledge developed throughout the course. (Lewis/Mauer, <em>offered alternate years</em>)",ENV 351
Hunger,"In 1826 Brillat-Savarin wrote, ""Tell me what you eat and I will tell you what you are."" But what can we tell from studies of not eating? This course will explore the hungering of fasting ascetics, anorexic girls, medieval saints, crash dieters, occasional cannibals, professional athletes, TV contestants, strategic political fasters, and famine and environmental disaster victims among others. Our subject will be cravings, desires, uneasy sensations, and weakened conditions as occasioned by the lack of food or some other unmet need. We will examine the myriad ways that hunger is constructed cross-culturally to critically analyze what it means in relation to other features of daily life. Using multidisciplinary accounts such as fiction, history, ethnography, biography, and film, we will examine how in particular contexts what we gloss as hunger can inform larger issues, such as the relationship between the individual and society, society and culture, and the local and the global. ",FSEM 125
Country Music and the American Working Class,"Surveys suggest that country music is both loved and hated by more Americans than any other music genre.  These different attitudes are not simply a matter of individual taste.  They are tied to deep divisions in US society.  Traditionally, country music has been linked to the American working class, particularly to the parts of the working class seen as most traditional: poor rural whites from the South and Midwest.  It includes romanticized images of small town life and traditional values, but also stereotypical images of 'rednecks' and 'white trash'.  This class uses country music as a starting point for exploring such issues.  In what ways does country music reflect the realities of working class life?  In what ways does it distort or parody it?  And what cultural and political issues are at stake in how we imagine country music and working class people?",FSEM 128
I Know What You Ate Last Summer,"Chemistry is a fundamental component of home and restaurant food preparation, as cooking is ultimately a series of complex chemical reactions. Chemistry is also essential to the production of food, from the most basic ingredients to the most elaborate industrial grocery store offerings. An understanding of how society produces food, and how these practices are both regulated and manipulated, can be informed by an appreciation of the chemistry that underlies these techniques. Students in this course begin by garnering a background in food-related chemistry; they then apply this knowledge to the understanding of food production and policy. Students will design and perform experiments using food, research and write about issues of food production and policy, and learn to communicate their finding.",FSEM 130
Critiquing the Classroom," What does it mean to be college educated? What is a college education for?  Who belongs in our system of higher education?  From skyrocketing tuition fees to campus open carry laws to debates about what topics even belong in the classroom, there is much that threatens to destabilize the American college experience as we know it.  This course is designed to explore and challenge fundamental preconceptions of what it means to teach and learn in the context of higher education.  ""Critiquing the Classroom"" is about understanding your relationship to the complex political world of the higher education, and about starting to explore what you might accomplish here.  Topics will include: the politics of ""knowledge production"", sexism and racism on college campuses, the benefits and challenges of place-based learning, the influence of consumer culture on higher education, lessons from critical and feminist education , and the social geographies of campuses and classrooms.",FSEM 148
Comparative Mythodology,"This course is designed under the premise that understanding myth is an important step towards understanding ourselves and our diverse cultures. It is an invitation to recognize the mythic in our daily lives. For most students, ""mythology"" means Greek, Roman or Norse mythology. However, this course will go beyond these sources and will compare them to myths from Africa, the Americas, Oceania and Asia. Students will discover the fascinating parallels that exist among the myths of widely separated cultures; they will see how parallel myths narrow the gaps between cultures and reveal what is constant and universal in human experience. After an introduction about the meaning of ""myth"" in time, history and religions, the course will be structured around the comparative study of the main types of myths: creation myths, flood myths, love myths, morality myths, myths of the hero, journeys to the underworld, visions of Apocalypse and the tricksters' myths. A final section will explore interpretations of myths, the difference between myth and religion or science and the idea of the ""monomyth.""",FSEM 149
"Am I Crazy? Madness in History, Culture, and Science","Mad geniuses, crazy athletes, weird artists, political and religious fanatics, horror films, ghost stories, the confessions of loners, losers, and outcasts-all have to do with the distinction between that which is strange and that which is familiar, those who are similar to us and those who are different, those who are normal and those who are abnormal-in short, those who are ""crazy"" and those who are ""sane."" In this seminar, our aim will be to come to terms with what this curious and mercurial thing called ""madness"" is, as well as what it means-ethically and politically  to decide that someone is mad and someone else is not. Among other things, we will look at 1) how the definitions of madness and sanity have changed radically over the course of recorded history; 2) how these definitions often overlap with broader social and cultural definitions of normalcy, morality, health, fitness, and criminality, 3) how the discourse of madness often intersects with social and cultural attitudes towards gender, race, class, ethnicity, and sexuality. By reading texts from numerous disciplines (psychology, philosophy, medicine, science, history, fiction, drama, anthropology, sociology) as well as viewing a number of films and conducting our own preliminary research, we will explorevarying definitions of ""madness"" from a broad cultural and historical perspective, paying particular attention not only to the ways in which madness has been defined, but how different cultures and societies at different historical moments have celebrated, pathologized, or sought to ""cure"" the insane.",FSEM 157
Gentlemen Prefer Bombs and Drone On and On,"This is the era of ""fake news.""  It is the ""post-truth era.""  The inevitable question raised by the current state of news, information, and political messages is, "" How do we know what we know?""  This question is central to the study of how the media ( in all its forms ) influences how we make sense of ourselves, our society, and our public policies.",FSEM 184
Eat Like a Slav: Russian Food &amp; Culture,"Food: if we are lucky, we consume it three times a day.  But is it just something that keeps us going-- or is there more to it?  In this course, we will investigate the role that food plays in Russian culture from its earliest documented forms to the present day.  We will consider a variety of interdisciplinary contexts in which food takes a central role, including literature, economics, history, nutrition, and folklore, as well as the ways Russian food has been presented to the world at large.  We will examine the peasant diet, which for hundreds of years supported a massive political empire, as well as the luxurious habits of the upper classes, where Western European influences first took hold. Our work will find its practical application in a weekly kitchen laboratory session where we will construct these dishes as we discuss the nature of food in Russian culture of the last several hundred years.",FSEM 186
Moby-Dick,"<em>Moby-Dick</em> is not just an epic; it's also epically weird. The story about Ahab and the whale takes up just a small fraction of the text, while the rest of the book goes off in all directions, reflecting upon American history and culture, asking profound philosophical questions, examining the economics of the whaling industry, cataloguing the biology of whales themselves, waxing poetic about the symbolism of ""whiteness"" and ""blackness,"" and dozens of other things besides. In other words, the book contains multitudes, and because of this, it makes an excellent starting point for a liberal arts education. We will spend the semester reading <em>Moby-Dick</em> together, considering the novel from a variety of perspectives: everything from anthropology to zoology, with stops in history, literary criticism, political theory, film studies, environmental studies, and gender and sexuality studies along the way. Reading a book like <em>Moby-Dick</em> is in itself a significant accomplishment: coming to terms with The Whale will give you bragging rights for life. ",FSEM 191
Consuming News in a Culture of Entertainment,"Reporting and critically analyzing the news has never been more important to a free and open society, but there are serious threats to that fundamental cornerstone of our democracy. Which corporations own the majority of news outlets in the United States? What is the First Amendment and why does it impact every student at HWS? Why is investigative journalism one of the most exciting careers you can enter upon graduation? This course will introduce students to the fundamentals of journalism, and provide an historical perspective on how news has evolved into today's best and worst practices. Students will have opportunities to critically analyze their favorite news sources, including entertainment and sports news. Leading global news operations will also be introduced. There will be weekly news quizzes and students will be able to research and analyze a topic in media ethics in an essay assignment. Weekly news quizzes and student-produced mock news reports will also be a part of the course. Finally, be prepared to share interesting news with your classmates whether it is from a cell phone news application, twitter, or other source. ",FSEM 195
Introduction to Women's Studies,"This course introduces the vast, complex, changing field of women's studies. Students will be asked to become conversant with the history of feminism and women's movements (nationally and transnationally), to understand and theorize women and gender as categories of analysis, to think through differences that divide and unite, to reflect and move beyond individual experience and to connect feminism to everyday life. Students will be encouraged to raise their own questions about women, gender, feminism(s), modes of women's organizing, and the production of knowledge. While it is impossible to cover all pertinent topics in one semester, this course introduces various specific issues and histories that, taken together, highlight the complexity of Women's Studies as both scholarly endeavor and activist field. (<em>Offered each semester</em>)",WMST 100
Writer's Seminar,"This course is for students in any major who want to become successful as college writers. By honing skills in critical reading and thinking, students are introduced to analysis and argumentation in order to consider their ideas within the context of academic writing and their own lives. Students develop writing techniques through composing and revising narratives, analytical essays, and guided research projects. The course focuses on writing individually and in collaboration with peers, the instructor, and other student support (Writing Colleagues or CTL Writing Fellows) through an emphasis on the process of invention, drafting, and revision. Course times and themes vary with instructor.",WRRH 100
Page to Stage,"This course will teach students how to analyze and break down dramatic literature in order to create a blueprint for production choices. Students will engage in the close examination of literature in varied styles, regions, and historical periods from the points of view of theatre practitioners (actors, directors, and designers), learning diverse techniques of analysis in the process. These techniques include the study of plot structure, character analysis, internal and external actions, conflict, rhythm, and idea/theme. This course encourages students to consider the links between other periods and our own, and the ways in which detailed readings of dramatic literature inform the communicative and aesthetic power of the performed text. (May, Woodworth, <em>offered fall semesters</em>) ",THTR 100
Chicana Feminism and Visual Culture,"This course lays the foundations for the study of Chicana feminism, women of color feminism, feminist visual cultural studies, and arts-based activism. This course traces the emergence of Chicana as an identity category and its challenges to Chicano and feminist activism; the radical ways Chicanas have employed visual, performance, and graphic arts as a means of educating and catalyzing social change; and the rich body of indigenous folklore that has both defined gender and sexual roles and provided the platform for defying them. Throughout the semester, we will draw from primary texts from the beginning of the Chicano movement, a rich selection of visual, performance, and graphic arts, and contemporary scholarship in women's studies, Chicana/o studies, and visual cultural studies. (Martin-Baron, <em>offered alternate fall semesters</em>)",WMST 150
The Politics of Health,"This course takes an interdisciplinary approach to the critical study of health politics, including the politics of gender, race and sexuality. Through the themes of social and environmental justice, students will explore the uneven distribution of health care and wellness both within the United States and beyond. Topics include the history of the women's health movement, breast cancer awareness campaigns, reproductive health and technologies, HIV/AIDS, feminist psychology, eating disorders, environmental health and toxicity, and more. In exploring these topics, feminist theory will serve as a lens through which we examine different experiences of illness and disease. At the same time, feminist pedagogy will serve as the model upon which we build our policy recommendations. (Hayes-Conroy)",WMST 204
Gender and Geography,"As a point of entry to discussions of gender, place and culture, this course will explore the diverse ways in which geographers have conceived of, analyzed and redefined gender as a contested spatial practice. In particular, using contemporary geographic texts, we will explore the gendered dynamics of geographic research methods, nature discourse, resource management, embodiment and health, agriculture and food, and globalization, among other topics. Emphasis will be placed on recognizing and researching cultural difference across these various topical areas. Readings and class discussion will build through individual and group assignments toward a final research paper/presentation.",WMST 212
Multilingual Writer's Seminar,"This introductory English for Speakers of Other Languages course provides students with the opportunity to develop a foundational level of English literacy and communication skills. This course places an emphasis on writing in various genres including argumentation, narration, and summary, as well as various writing skills including cohesion, structure, grammatical fluency, and revision. Students will use their experiences at HWS to develop their English writing, reading, listening, and speaking skills, with priority being given to writing development. Students will improve their English skills through written responses to readings, essays written in multiple genres, and a presentation on an aspect in American culture or their home culture. The time and theme of the course may vary with the instructor. (Janney, <em>Fall, offered annually</em>)",WRRH 105
Multilingual Writer's Seminar II,"This intermediate English as a Second Language course provides students with the opportunity to build upon the English literacy and communication skills they acquired in WRRH 105. Through an emphasis on more advanced grammatical skills and academic communication skills, such as analysis, synthesis, primary research, and critical thinking, students will become increasingly familiar with using the English Language for effective communication in academia. Students will improve their English through weekly writing responses to readings, essays written in multiple genres, a presentation on a topic of the student's interest, and acting as a discussion leader in class once per semester to improve verbal communication skills. The time and theme of the course may vary with the instructor and semester. (Janney, <em>Spring, offered annually</em>)",WRRH 106
American Sign Language I,"In this introductory course, students learn basic ASL vocabulary and grammar as well as strategies for successful communication with the deaf. Instead of assuming a disability or medical model of deafness, this course presents the American Deaf Community as a linguistic minority and examines the complex relationship between language and identity. Students will develop an appreciation for the Deaf Community's contribution to the linguistic and cultural diversity of North America. They will consider the values and unique cultural characteristics of the Deaf Community in contrast to mainstream ""hearing"" cultural norms. Students learn about the historical context for the deaf experience in the United States from the early 19th century to the culmination of civil rights struggle with the passage of the Americans With Disabilities Act of 1990 through viewing documentaries like ""Through Deaf Eyes."" Films like ""Hear and Now"" introduce them to the controversy of cochlear implantation and its impact on deaf identity. Readings include ""Introduction to American Deaf Culture"" and ""A Journey Into the Deaf-World."" (Cappiello, <em>Fall, offered annually</em>)",WRRH 170
Acting I,"This course is designed to introduce the beginning student to the craft of acting through the use of improvisation, theatre games, and acting exercises. Actor training focuses on and makes use of individual and group exercises that challenge both the mind and the body. Emphasis is placed on developing concentration and focus, the use of the imagination, sensory awareness, and verbal and physical improvisational skills. Exercises are designed to encourage the acting student to listen to his or her impulses and to respond to them within the context of an imaginary circumstance. Students also learn to work off of a partner in order to discover their own true and authentic responses to another person. This course is a prerequisite for Acting II. (Hatch, May, <em>offered each semester</em>)",THTR 130
Introduction to Stagecraft,"This is a lecture/laboratory course which will provide students with a practical overview of the fundamentals of design and stagecraft for the theater. Students will explore the relationships between production values and stagecraft via weekly readings and lecture/discussions. In addition they will complete a weekly lab (and two weekend labs) in which they will work in Bartlett Theatre and in the Theatre shop working on current faculty-directed productions. Students will receive hands on experience with set construction and will learn how to safely and effectively manipulate all theatrical production systems (lighting, rigging, audio, etc.) in an expressive manner. (Staff, <em>Spring, offered alternate years</em>)",THTR 160
Theatre History I,"Through an examination of the people, events, works, documents, institutions, and social conditions of the theatrical past, this course will explore the development of theatre from the fifth century B.C.E. to approximately 1700 C.E. Students will be introduced to the theoretical issues surrounding the writing of history as well as research practices and opportunities in the field of theatre history. Students will interpret salient dramatic and theoretical texts and illustrate the ways in which these texts connect to the making of theatre as well as the ways in which theatre shapes and reflects larger culture(s). Over the course of the semester, students will explore pivotal moments in theatre history including Ancient Greece and Rome, Medieval Europe, Classical India, Yuan China, Early Modern England, Renaissance Italy, Neoclassical France, the Spanish golden Age, and Restoration England. Students will engage with historic material in a wide array of modes including research, performance, and design. (Woodworth, <em>Fall, offered alternate years</em>)",THTR 220
Stage Management,"In his seminal book <em>The Back Stage Guide to Stage Management</em>, Thomas A. Kelly describes stage managers as ""responsible and adaptable communicators who have the ability to handle and coordinate diverse groups of artistic personalities with tactful discipline and a sense of humor. They establish a creative environment by combining the ability to prioritize and anticipate and solve problems, with calm sensitivity and grace under pressure. Their ability to do the above stems from organizational ability, acquired technical knowledge..., familiarity with union requirements, and an inspirational personality that creates positive energy."" This class examines the way in which stage managers fulfill these wide-ranging duties, studying the process of stage management from pre-production to closing night. Stage Management emphasizes practical knowledge and skill development, through case studies, generation of a prompt book for a hypothetical production, and guest lectures with professionals in the field. (May, Spring, <em>offered alternate years</em>)",THTR 280
Transnational Feminisms,"Is woman a global category? How is gender performed differently across the globe? How do representations of first, second, and third-world women circulate transnationally? In this course, we will investigate how gendered bodies travel, perform, and are understood in wide variety of national, diasporic, and global media contexts, from theater and film, to politics and popular culture. Prerequisite: WMST 100 or permission of instructor. (Martin-Baron, <em>offered alternate spring semesters</em>)",WMST 213
Black Feminisms,"In this course, we place black women's writings about their lives and factors that govern the health and well-being of black communities at the heart of our inquiry. Utilizing a wide range of texts, we will not only explore foundational texts and theories of black feminism in the US, but also the ways black artists have communicated these theories artistically: as a mirror to a broken society and as a discursive intervention. Students will emerge from this course with an in depth knowledge of the foundations of black feminism and black feminist theory as well as the debates surrounding diversity in the contemporary American landscape. (Martin-Baron, <em>offered alternate fall semesters</em>)",WMST 219
The Body Politic,"To inquire into ""The body politic"" is to inquire into the riddle of the relationship between the corporeal body and the social, political, economic, and environmental body. It is to ask oneself where one's own body begins and ends - does skin mark the boundary of the bodies? If so, what differentiates bodies such that some bodies are at the heart of political battles over rights and freedoms (including waging war in the name of women's bodies and access to reproductive rights or queer rights to love freely)? How is the idea of gender equality invoked to index non-violence and peace, economic well-being, or freedom? How do gendered bodies become the site of social and personal struggle? How do different traditions of thought and belief depict bodies? Do these different views carry consequences for how we inhabit our bodies and/or distinguish ourselves from animals? This course seeks to address some of these questions through theory, history, literature, film, guest speakers and movement - walking, dancing, and yoga - of the body. (Bayer)",WMST 220
American Sign Language II,"This course continues to develop the linguistic and cultural concepts introduced in ASL I. Students will expand their ASL vocabulary and incorporate greater use of the linguistic features unique to signed languages. Varied sentence structures are explored and encouraged. The use of space, classifiers, and storytelling techniques are also introduced. Current events relating to the deaf community are frequently discussed as they occur, and off-campus opportunities to venture into the Deaf-World are made available. After a brief survey of various professions related to deafness and deaf education, the course culminates with an introductory translation project that permits students to experience and appreciate the challenges and complexities of translation and interpretation from English. (Cappiello, <em>Spring, offered annually</em>)",WRRH 171
Writer's Seminar II,"This intermediate writing course offers students the chance to develop writing and research skills through reading and writing processes introduced in WRRH 100, with an emphasis on increased responsibility for engaging in critical analysis and argument and for developing research projects. Students become more familiar with academic standards and conventions, particularly with the ever-widening variety of research tools available to them. Invention strategies, multiple drafts and revision, peer responses, and editing are stressed. Texts are variable depending on faculty preference. (Staff, <em>offered each semester</em>)",WRRH 200
Beginning Spanish I,"Designed for students who have not taken Spanish before, this course develops the basic skills in understanding, speaking, reading, and writing the language, and introduces the student to a variety of cultural aspects of the Spanish-speaking world. Beginning Spanish I, as well as the other courses in the beginning and intermediate levels, use a combination of three weekly master classes with the regular instructor and an additional hour of laboratory practice or the equivalent, using the multimedia materials accompanying the text. This course is the first part of the beginning sequence; students who take SPAN 101 in the fall are highly advised to take SPAN 102 in the spring of the same academic year. (<em>Offered fall semesters</em>)",SPAN 101
-OR-,POL 326  Urban Politics<br>,POL 236
Theatre For Social Change,"Due to the intimate and immediate relationship between theatre practitioners and audiences, theatre has been employed as a means of encouraging social action since the beginning of its history. As far back as 411 BCE, Aristophanes used the City Dionysia to reach massive and influential audiences with his anti-war play Lysistrata. Although contemporary theatre is typically associated with commercial success stories such as those on Broadway, the tradition of using theatre to inspire social change continues across the world, often outside of mainstream theatre spaces and in places as diverse as corporate boardrooms and city street corners. This course will introduce students to a variety of movements, practitioners, and approaches to creating theatre that encourage communities to work outside of dominant (and often violent/repressive) structures to instigate social change. Although such work has happened through critical stagings of classical texts such as Lysistrata, this course will emphasize the work being done by those who put the primary emphasis on social justice, with a secondary concentration on theatre  in other words, those who see theatre specifically as a vehicle for social change and alter their craft in order to best service this goal. Theatre for Social Change will combine traditional academic approaches (reading, writing, etc.) with the practical experience of collaborating together to create a short piece of theatre meant to provoke social change in the HWS and/or Geneva communities. In keeping with the democratic spirit of theatre for social change, in which all participants are viewed as bringing something to the table, no performance experience is required for this course. (May, <em>Spring, offered alternate years</em>)",THTR 290
